Date,Exchange Rate,Banana,Onion,Beef Mince,Milk,Egg,Rice,Petrol,Muz,Sogan,Kiyma,Sut,Yumurta,Pirinc,Benzin
,,1,1,1,2,12,1,1,1,1,1,1,15,1,1
5/7/2024,22.06,4,2,11,4.2,5.6,1.8,1.78,45,18,420,45,37.5,62.5,43.5
21/7/2024,22.08,4,2.5,11,4.2,5.2,1.8,1.73,70,17,378,45,52.5,65,45
4/8/2024,21.54,4.3,3.6,11,4.2,5.2,1.8,1.96,69.95,9.75,399.95,45,52.5,64.95,45.2
16/8/2024,22.35,6,3.6,11,4.2,5.2,1.8,1.72,69.95,11.95,419.95,45,52.5,64.95,44.54
1/9/2024,23.05,6,2.5,11,4.2,5.7,1.8,1.92,69.95,14.9,399.95,45,93.95,67.5,43.24
14/9/2024,22.68,6,2.5,11,4.2,5.7,1.8,1.66,69.95,9.9,399.95,45,72.5,67.5,41.55
28/9/2024,23.59,4,3.6,11,4.2,5.7,1.8,1.59,54.95,12.5,389.95,45,69.95,67.5,42.77
13/10/2024,23.15,4,3.2,9,4.2,5.7,1.8,1.8,54.95,13.95,419.95,29.95,72.5,67.5,44.66
10/11/2024,22.63,4.5,2.5,11,3.95,5.7,1.8,1.82,99.95,15.95,409.95,45,59.95,67.5,42.88
24/11/2024,22.47,4,2.5,11,3.95,5.7,1.8,1.67,44.95,9.95,409.95,45,67.5,67.5,42.33